Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SalePrice
1242.0,20.0,83.0,9849.0,7.0,6.0,2007.0,2007.0,0.0,0.0,0.0,1689.0,1689.0,1689.0,0.0,0.0,1689.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,2007.0,3.0,954.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,248328.0
1233.0,90.0,70.0,9842.0,4.0,5.0,1962.0,1962.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.0,0.0,1224.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0,0.0,1962.0,2.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2007.0,101800.0
1401.0,50.0,50.0,6000.0,6.0,7.0,1929.0,1950.0,0.0,0.0,0.0,862.0,862.0,950.0,208.0,0.0,1158.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,1.0,1929.0,1.0,208.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,7.0,2008.0,120000.0
1377.0,30.0,52.0,6292.0,6.0,5.0,1930.0,1950.0,0.0,384.0,0.0,384.0,768.0,790.0,0.0,0.0,790.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,1925.0,1.0,160.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2008.0,91000.0
208.0,20.0,69.3,12493.0,4.0,5.0,1960.0,1960.0,0.0,419.0,306.0,375.0,1100.0,1100.0,0.0,0.0,1100.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,1.0,1960.0,1.0,312.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2008.0,141000.0
1392.0,90.0,65.0,8944.0,5.0,5.0,1967.0,1967.0,0.0,0.0,0.0,1584.0,1584.0,1584.0,0.0,0.0,1584.0,0.0,0.0,2.0,0.0,4.0,2.0,8.0,0.0,1967.0,3.0,792.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2009.0,124000.0
980.0,20.0,80.0,8816.0,5.0,6.0,1963.0,1963.0,0.0,651.0,0.0,470.0,1121.0,1121.0,0.0,0.0,1121.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,1963.0,2.0,480.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,139000.0
484.0,120.0,32.0,4500.0,6.0,5.0,1998.0,1998.0,116.0,897.0,0.0,319.0,1216.0,1216.0,0.0,0.0,1216.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,0.0,1998.0,2.0,402.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2006.0,164000.0
392.0,60.0,71.0,12209.0,6.0,5.0,2001.0,2002.0,0.0,690.0,0.0,114.0,804.0,804.0,1157.0,0.0,1961.0,1.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,2001.0,2.0,560.0,125.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,215000.0
730.0,30.0,52.0,6240.0,4.0,5.0,1925.0,1950.0,0.0,152.0,0.0,628.0,780.0,848.0,0.0,360.0,1208.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,1962.0,2.0,539.0,0.0,23.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,2009.0,103000.0
255.0,20.0,70.0,8400.0,5.0,6.0,1957.0,1957.0,0.0,922.0,0.0,392.0,1314.0,1314.0,0.0,0.0,1314.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,1957.0,1.0,294.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2010.0,145000.0
1094.0,20.0,71.0,9230.0,5.0,8.0,1965.0,1998.0,166.0,661.0,0.0,203.0,864.0,1200.0,0.0,0.0,1200.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,1977.0,2.0,884.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2006.0,146000.0
1021.0,20.0,60.0,7024.0,4.0,5.0,2005.0,2005.0,0.0,1024.0,0.0,108.0,1132.0,1132.0,0.0,0.0,1132.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,2005.0,2.0,451.0,252.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,176000.0
1341.0,20.0,70.0,8294.0,4.0,5.0,1971.0,1971.0,0.0,0.0,0.0,858.0,858.0,872.0,0.0,0.0,872.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,1974.0,4.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,123000.0
1025.0,20.0,69.3,15498.0,8.0,6.0,1976.0,1976.0,0.0,1165.0,400.0,0.0,1565.0,2898.0,0.0,0.0,2898.0,1.0,0.0,2.0,0.0,2.0,1.0,10.0,1.0,1976.0,2.0,665.0,0.0,72.0,174.0,0.0,0.0,0.0,0.0,0.0,5.0,2008.0,287000.0
848.0,20.0,36.0,15523.0,5.0,6.0,1972.0,1972.0,0.0,460.0,0.0,404.0,864.0,864.0,0.0,0.0,864.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0,1.0,1972.0,1.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2009.0,133500.0
